pr_number,title,url,outcome,merged,commit_count,changed_files,additions,deletions,changed_lines,title_length,body_length,comments,review_comments,commit_message_total_length,commit_message_avg_length,commit_message_max_length,commit_message_keyword_count,commit_messages
16403,Restore HNSW graph reuse during merges under per-field vectors formats,https://github.com/apache/lucene/pull/16403,MERGED,1,4,3,178,2,180,70,513,5,8,896,224.0,705,7,"Restore HNSW graph reuse during merges under per-field vectors formats  Since 10.4.0 IncrementalHnswGraphMerger.addReader unwrapped the per-field reader into currKnnVectorsReader but tested the wrapper for HnswGraphProvider, which PerFieldKnnVectorsFormat.FieldsReader does not implement on this branch. Every candidate segment was rejected, so no seed graph was ever selected and every merge rebuilt the merged graph from scratch.  Test the unwrapped reader and store it in GraphReader, so the later cast in createBuilder operates on the reader that actually implements the interface. Adds a test asserting that merging deletion-free segments under the default codec goes through MergingHnswGraphBuilder. || Remove unused id field and redundant commit from TestHnswGraphReuse || Rename TestHnswGraphReuse to TestHnswGraphReuseDuringMerge || Add test asserting graph reuse when the base segment has deletions"
16401,Speed up TestHnswMergeAbort and make its assertion deterministic,https://github.com/apache/lucene/pull/16401,MERGED,1,2,2,85,20,105,64,1600,2,3,626,313.0,572,2,"Speed up TestHnswMergeAbort and make its assertion deterministic  Instead of asserting that rollback() returns within a time limit, hold the merge thread at the start of the graph build until the merge is marked aborted, then assert that the build never ran to completion, observed through InfoStream. This does not depend on segment size or machine speed, so segments shrink from 12k docs to 1k and beam width from 250 to 100. MergingHnswGraphBuilder now emits a completion message like the other two builders, so the graph join path has a completion signal to assert on. || Merge branch 'main' into hnsw-abort-test-speedup-16397"
16396,Handle inconsistent schema on flush with index sorts (#15125),https://github.com/apache/lucene/pull/16396,MERGED,1,1,3,70,5,75,61,174,0,0,237,237.0,237,0,"Handle inconsistent schema on flush with index sorts (#15125)  If index sorts are configured and a document's schema is inconsistent with existing segments, IndexWriter may encounter a NullPointerException when building sort comparators."
16395,Handle inconsistent schema on flush with index sorts (#15125),https://github.com/apache/lucene/pull/16395,MERGED,1,1,3,69,6,75,61,204,0,0,237,237.0,237,0,"Handle inconsistent schema on flush with index sorts (#15125)  If index sorts are configured and a document's schema is inconsistent with existing segments, IndexWriter may encounter a NullPointerException when building sort comparators."
16394,Bulk nextDocsAndScores for constant-score disjunction clauses,https://github.com/apache/lucene/pull/16394,MERGED,1,6,8,383,9,392,61,4818,5,4,2175,362.5,699,2,"Bulk nextDocsAndScores for constant-score disjunction clauses  MaxScoreBulkScorer's term-at-a-time scoring drains clauses through Scorer#nextDocsAndScores. TermScorer has a bulk implementation over postings, but ConstantScoreScorer falls back to one nextDoc() call per match. When the underlying iterator is a disjunction, every such call pays a DisiPriorityQueue update, and with tied constant scores the top-k threshold cannot prune, so the full candidate stream pays it.  Drain a 4096-doc window in bulk via DocIdSetIterator#intoBitSet when the underlying iterator is a DisjunctionDISIApproximation; keep the doc-at-a-time loop for iterators that are cheap to advance and for two-phase iterators. || Add CHANGES entry || Add DocIdSetIterator#intoArray with a bulk implementation for disjunctions  The default implementation copies doc IDs one nextDoc() call at a time. DisjunctionDISIApproximation overrides it to load a window of doc IDs through #intoBitSet, which costs one bulk load and one priority-queue update per sub-iterator instead of one priority-queue update per matching doc. || Build ConstantScoreScorer#nextDocsAndScores on DocIdSetIterator#intoArray  Iterators that load doc IDs in bulk now opt in by overriding #intoArray, which replaces the instanceof check on the underlying iterator.  Also stop reporting an empty buffer while docs remain below upTo: callers read that as the iterator being exhausted, so a batch whose docs are all deleted used to drop every remaining hit of the clause. || Update CHANGES entry for the intoArray-based implementation || Check the nextDocsAndScores buffer contract in AssertingScorer  An empty buffer is documented to mean that no doc is left before upTo, and callers rely on it to terminate. Nothing enforced it, so an implementation that filters the buffer after loading it, e.g. on liveDocs, could report an empty buffer with docs still to come and silently drop hits.  Assert it, and add a randomized ConstantScoreScorer test that reaches the case. Reaching it takes a doc ID range wider than one batch plus deletions that cluster, so the uniformly random deletions that existing randomized tests apply to small indexes never get there."
16393,Move the GITHUB#16367 CHANGES entry to the 10.6.0 section,https://github.com/apache/lucene/pull/16393,MERGED,1,1,1,4,4,8,57,113,0,0,57,57.0,57,0,Move the GITHUB#16367 CHANGES entry to the 10.6.0 section
16391,Check if merge is aborted during HNSW graph construction (#16368),https://github.com/apache/lucene/pull/16391,MERGED,1,1,9,258,6,264,65,434,0,0,135,135.0,135,0,Check if merge is aborted during HNSW graph construction (#16368)  (cherry picked from commit 2b237286b38e9b62d6e017a1d746a66c707e8462)
16390,Fix double-counting of Automaton in AutomatonQuery#ramBytesUsed,https://github.com/apache/lucene/pull/16390,MERGED,1,1,4,89,1,90,63,400,1,0,63,63.0,63,1,Fix double-counting of Automaton in AutomatonQuery#ramBytesUsed
16388,Remove IOException from LeafReader.getDocValuesSkipper(),https://github.com/apache/lucene/pull/16388,MERGED,1,3,23,57,58,115,56,536,0,0,669,223.0,594,0,"Remove IOException from LeafReader.getDocValuesSkipper()  All of the global metadata available without calling advance() on a skipper is loaded at Skipper creation time and can therefore be returned without doing any IO. The only reason we need to do IO to create a Skipper is slicing an IndexInput, and that can be done lazily in advance() as skippers are designed to only be consumed in a single thread.  This removes the throws declaration from LeafReader.getDocValuesSkipper(), which in combination with a similar change on PointValues will make numeric field metadata available without IO. || Merge remote-tracking branch 'origin/main' into skippers/ioexception || changes"
16387,Don't throw IOException from PointValues metadata methods,https://github.com/apache/lucene/pull/16387,MERGED,1,2,14,112,141,253,57,156,0,2,222,111.0,215,0,Don't throw IOException from PointValues metadata methods  Metadata is loaded at segment open time and doesn't require any IO to load once the IndexReader is available.  Stop throwing IOException from these methods. || changes
16386,Fix conflict in CHANGES.txt,https://github.com/apache/lucene/pull/16386,CLOSED,0,1,1,1,3,4,27,98,2,0,77,77.0,77,1,Fix conflict in CHANGES.txt  Signed-off-by: Binlong Gao <gbinlong@amazon.com>
16385,Remove unused public methods in AllGroupHeadsCollector,https://github.com/apache/lucene/pull/16385,MERGED,1,5,3,42,66,108,54,260,3,0,303,60.6,104,6,Remove unused public methods in AllGroupHeadsCollector  Signed-off-by: Binlong Gao <gbinlong@amazon.com> || Merge remote-tracking branch 'upstream/main' into fixTest || update grouping package info  Signed-off-by: Binlong Gao <gbinlong@amazon.com> || Merge branch 'main' into fixTest || Merge branch 'main' into fixTest
16383,Add fp16 (float16) vector encoding support - no quantization support,https://github.com/apache/lucene/pull/16383,MERGED,1,5,98,3392,24,3416,68,424,6,63,686,137.2,558,3,"feat: Add fp16 (float16) vector encoding support  Introduce a new FLOAT16 VectorEncoding that stores vectors at half precision (16 bits per dimension, represented as short[]). Adds Float16VectorValues, KnnFloat16VectorField, KnnFloat16VectorQuery, short[] similarity and VectorUtil operations, codec reader/writer plumbing across the KNN vectors stack, and function-query value sources, together with tests.  This introduces the raw fp16 encoding only; scalar quantization of fp16 vectors is intentionally excluded and will be added separately.  GITHUB#15549 || Fixed typo || Update the github change id in CHANGES.txt || Addressed comments: fixed comments and java docs || Addressed some more comments"
16382,Collapse repeated wildcard asterisks,https://github.com/apache/lucene/pull/16382,MERGED,1,6,3,67,13,80,36,965,15,4,1117,186.16666666666666,455,4,"Collapse repeated wildcard asterisks || Modernize toAutomaton switch and strengthen the collapse test  Convert the wildcard switch to an arrow switch (dropping the fallthrough and its @SuppressWarnings), per review. Compare automaton language equality (AutomatonTestUtil.sameLanguage) instead of only state/transition counts, add a variant mixing an escaped \* with literals and '?', and add a '*?' x5000 case asserting it stays linearly sized (it does not collapse but must not explode either). || Add CHANGES.txt entry for the wildcard repeated-asterisk collapse || Update lucene/core/src/test/org/apache/lucene/search/TestWildcardQuery.java  Co-authored-by: Namgyu Kim <kng0828@gmail.com> || Simplify the repeated-asterisk collapse: drop the state flag  Replace the lastWasWildcardString boolean (which had to be set in every switch branch) with a check on whether the previous segment is already a total (""any string"") automaton via Operations.isTotal. Behavior is unchanged — consecutive '*' still collapse to a single any-string — and the other branches become plain one-liners. || Use List.getLast() for the previous-segment check"
16380,Advance filter in MaxScoreBulkScorer before calculating window bounds,https://github.com/apache/lucene/pull/16380,MERGED,1,3,3,177,0,177,69,486,1,0,631,210.33333333333334,555,0,"Advance filter in MaxScoreBulkScorer before calculating window bounds  MaxScoreBulkScorer uses impacts/advanceShallow to calculate its window bounds, possibly going through several rounds of recalculation before moving to the window and scoring/filtering.  This can result in a lot of wasted work if the filter excludes a large initial chunk of the document space which could otherwise be ignored during the bounds calculations.  We now advance the filter approximation before doing any bounds computation and readjust the outer window limits accordingly. || Merge remote-tracking branch 'origin/main' into bulk/max-score-filter || changes"
16379,"Replace deprecated search(Query, Collector) with search(Query, CollectorManager) in TestGrouping",https://github.com/apache/lucene/pull/16379,MERGED,1,1,1,198,324,522,96,398,1,0,96,96.0,96,1,"Replace deprecated search(Query, Collector) with search(Query, CollectorManager) in TestGrouping"
16378,Accumulate join Total/Avg scores in double precision,https://github.com/apache/lucene/pull/16378,MERGED,1,3,4,82,40,122,52,411,6,0,511,170.33333333333334,463,3,"Accumulate join Total/Avg scores in double precision  TermsWithScoreCollector, JoinUtil's numeric point join, and TestJoinUtil summed per-document scores in float. Float addition isn't associative, so summing the same scores in a different order can round to a different float, causing TestJoinUtil.testMultiValueRandomJoin to intermittently fail on exact score/doc-order assertions.  Scores are now accumulated in double and narrowed to float only where exposed. || changes || Merge branch 'main' into join_util_scores"
16377,Fix VectorScorer#bulk eagerly advancing its iterator,https://github.com/apache/lucene/pull/16377,MERGED,1,1,3,39,5,44,52,1299,0,0,1304,1304.0,1304,2,"Fix VectorScorer#bulk eagerly advancing its iterator  The default bulk() implementation advanced its iterator as a side effect of construction, unlike Bulk.fromRandomScorerDense/Sparse, which defer positioning to the first nextDocsAndScores call. Move the positioning into the returned Bulk to match, and update the javadoc.  The current behavior is problematic when combining the iterator with others via conjunction. Given that this API is evolving and the behavior is split I propose adopting the lazy behavior.  In one case, I hit the following error:    Caused by: java.lang.IllegalArgumentException: Sub-iterators of ConjunctionDISI are not on the same document!         at ConjunctionDISI.throwSubIteratorsNotOnSameDocument(ConjunctionDISI.java:149)         at ConjunctionDISI.createConjunction(ConjunctionDISI.java:104)         at ConjunctionUtils.intersectScorers(ConjunctionUtils.java:44)         at ConjunctionScorer.<init>(ConjunctionScorer.java:36)         at BooleanScorerSupplier.requiredBulkScorer(BooleanScorerSupplier.java:453)         at BooleanScorerSupplier.booleanScorer(BooleanScorerSupplier.java:219)         at BooleanScorerSupplier.bulkScorer(BooleanScorerSupplier.java:177)  The tests don't hit this error because it's trivial to confirm that the bulk call is side effect free."
16376,deps(java): bump com.diffplug.spotless from 8.7.0 to 8.8.0,https://github.com/apache/lucene/pull/16376,MERGED,1,1,1,1,1,2,58,1557,0,0,341,341.0,341,0,deps(java): bump com.diffplug.spotless from 8.7.0 to 8.8.0  Bumps com.diffplug.spotless from 8.7.0 to 8.8.0.  --- updated-dependencies: - dependency-name: com.diffplug.spotless   dependency-version: 8.8.0   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com>
16375,deps(java): bump org.apache.groovy:groovy-all from 5.0.6 to 5.0.7,https://github.com/apache/lucene/pull/16375,MERGED,1,1,1,1,1,2,65,1767,0,0,452,452.0,452,0,deps(java): bump org.apache.groovy:groovy-all from 5.0.6 to 5.0.7  Bumps [org.apache.groovy:groovy-all](https://github.com/apache/groovy) from 5.0.6 to 5.0.7. - [Commits](https://github.com/apache/groovy/commits)  --- updated-dependencies: - dependency-name: org.apache.groovy:groovy-all   dependency-version: 5.0.7   dependency-type: direct:production   update-type: version-update:semver-patch ...  Signed-off-by: dependabot[bot] <support@github.com>
16374,deps(java): bump gradle-wrapper from 9.6.0 to 9.6.1,https://github.com/apache/lucene/pull/16374,MERGED,1,4,2,2,2,4,51,6885,0,0,639,159.75,487,0,deps(java): bump gradle-wrapper from 9.6.0 to 9.6.1  Bumps [gradle-wrapper](https://github.com/gradle/gradle) from 9.6.0 to 9.6.1. - [Release notes](https://github.com/gradle/gradle/releases) - [Commits](https://github.com/gradle/gradle/compare/v9.6.0...v9.6.1)  --- updated-dependencies: - dependency-name: gradle-wrapper   dependency-version: 9.6.1   dependency-type: direct:production   update-type: version-update:semver-patch ...  Signed-off-by: dependabot[bot] <support@github.com> || Merge remote-tracking branch 'origin/main' into dependabot/gradle/gradle-wrapper-9.6.1 || Revert gradlew scripts with Lucene changes. || Bump minGradle version.
16373,deps(java): bump junit5 from 6.1.0 to 6.1.1,https://github.com/apache/lucene/pull/16373,MERGED,1,2,20,27,27,54,43,13444,0,0,1770,885.0,1750,2,"deps(java): bump junit5 from 6.1.0 to 6.1.1  Bumps `junit5` from 6.1.0 to 6.1.1.  Updates `org.junit.jupiter:junit-jupiter-engine` from 6.1.0 to 6.1.1 - [Release notes](https://github.com/junit-team/junit-framework/releases) - [Commits](https://github.com/junit-team/junit-framework/compare/r6.1.0...r6.1.1)  Updates `org.junit.platform:junit-platform-launcher` from 6.1.0 to 6.1.1 - [Release notes](https://github.com/junit-team/junit-framework/releases) - [Commits](https://github.com/junit-team/junit-framework/compare/r6.1.0...r6.1.1)  Updates `org.junit.platform:junit-platform-testkit` from 6.1.0 to 6.1.1 - [Release notes](https://github.com/junit-team/junit-framework/releases) - [Commits](https://github.com/junit-team/junit-framework/compare/r6.1.0...r6.1.1)  Updates `org.junit.vintage:junit-vintage-engine` from 6.1.0 to 6.1.1 - [Release notes](https://github.com/junit-team/junit-framework/releases) - [Commits](https://github.com/junit-team/junit-framework/compare/r6.1.0...r6.1.1)  --- updated-dependencies: - dependency-name: org.junit.jupiter:junit-jupiter-engine   dependency-version: 6.1.1   dependency-type: direct:production   update-type: version-update:semver-patch - dependency-name: org.junit.platform:junit-platform-launcher   dependency-version: 6.1.1   dependency-type: direct:production   update-type: version-update:semver-patch - dependency-name: org.junit.platform:junit-platform-testkit   dependency-version: 6.1.1   dependency-type: direct:production   update-type: version-update:semver-patch - dependency-name: org.junit.vintage:junit-vintage-engine   dependency-version: 6.1.1   dependency-type: direct:production   update-type: version-update:semver-patch ...  Signed-off-by: dependabot[bot] <support@github.com> || Lockfile, checksums."
16372,deps(java): bump com.gradle.common-custom-user-data-gradle-plugin from 2.6.0 to 2.7.0,https://github.com/apache/lucene/pull/16372,MERGED,1,1,1,1,1,2,85,1611,0,0,402,402.0,402,0,deps(java): bump com.gradle.common-custom-user-data-gradle-plugin  Bumps com.gradle.common-custom-user-data-gradle-plugin from 2.6.0 to 2.7.0.  --- updated-dependencies: - dependency-name: com.gradle.common-custom-user-data-gradle-plugin   dependency-version: 2.7.0   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com>
16371,Add CaseFoldingFilter with flat lookup table,https://github.com/apache/lucene/pull/16371,MERGED,1,13,19,1109,13,1122,44,1278,14,23,1401,107.76923076923077,364,4,Add CaseFoldingFilter with flat lookup table || Update CHANGES.txt || Fix generated file formatting for lint || Merge remote-tracking branch 'origin/lucene/case-folding-table' into lucene/case-folding-table || Merge branch 'main' into lucene/case-folding-table || Use switch-based fold to reduce memory footprint  Replace 128KB flat lookup table with a generated switch statement. ~200 codepoints differ between foldCase and toLowerCase. || Merge branch 'main' into lucene/case-folding-table || Rename generation scripts and tasks for clarity  Fix stale regeneration command in generated file headers. Add SimpleCaseFolding.java and CaseFolding.java to .gitattributes. || Use regenerate* prefix for case folding tasks  Rename tasks to regenerateCaseFolding and regenerateSimpleCaseFolding so they integrate with the checksum framework and are picked up by `gradlew regenerate`. The previous generateUnicodeProps task lost its checksum tracking during a build refactoring (b39e9bce319). Regenerate CaseFolding.java with current ICU 78.3. || Rename CaseFolding to CaseExpansion in automaton package || Scan full Unicode range in SimpleCaseFolding generation  Expand GenerateSimpleCaseFolding loop to Character.MAX_CODE_POINT to cover supplementary codepoints. Add inline comments to CharacterUtils.simpleCaseFold() matching the existing comments in toLowerCase() for consistency. || Merge branch 'main' into lucene/case-folding-table || Update javadoc
16370,Order two-phase iterators in DenseConjunctionBulkScorer by matchCost,https://github.com/apache/lucene/pull/16370,MERGED,1,3,3,93,1,94,68,362,0,0,442,147.33333333333334,430,0,"Order two-phase iterators in DenseConjunctionBulkScorer by matchCost  Currently two-phase iterators are ordered by their approximation cost. Many two-phase implementations use maxDoc as their approximation, however, meaning that we don't necessarily get a good ordering between them and more expensive matches can be called unnecessarily.  This adds an additional comparison layer for two-phase iterators that orders by matchCost. || check || changes"
16369,Fix seed-dependent failure in TestForceNoBulkScoringQuery,https://github.com/apache/lucene/pull/16369,MERGED,1,1,1,4,1,5,57,1554,0,0,581,581.0,581,7,"Fix seed-dependent failure in TestForceNoBulkScoringQuery  The sanity check added in #16350 assumes that searching the un-wrapped ThrowsOnBulkScoreQuery always calls ScorerSupplier#bulkScorer. With newSearcher(reader) the searcher may be an AssertingIndexSearcher, whose ScorerSupplier sometimes builds the bulk scorer from scorer() instead of delegating, so the expected AssertionError is never thrown:    gradlew -p lucene/monitor test --tests TestForceNoBulkScoringQuery \     -Dtests.seed=BDD18A3ADD885193  Use a plain IndexSearcher so the dispatch under test is deterministic."
16368,Check if merge is aborted during HNSW graph construction,https://github.com/apache/lucene/pull/16368,MERGED,1,6,9,257,6,263,56,1919,8,5,1253,208.83333333333334,648,2,"Check if merge is aborted during HNSW graph construction (#16367)  Graph construction is a pure-CPU loop that performs no writes, so it never observed OneMerge's abort flag: IndexWriter#rollback/abortMerges blocked until the entire graph was built (tens of minutes for large vector segments).  Wire MergeState#checkAborted from Lucene99HnswVectorsWriter through the HNSW graph mergers into the builders, and invoke it before every node insertion in HnswGraphBuilder#addGraphNodeInternal - the single point that all insertion paths (full rebuild, graph-join, concurrent workers) funnel through. Flush-time graph builds are unaffected (no check set). || Merge branch 'main' into hnsw-merge-abort-16367 || Cover the concurrent merge path in TestHnswMergeAbort  Add a variant with numMergeWorkers=2 so the abort check forwarding in HnswConcurrentMergeBuilder is exercised, and relax the rollback bound from 5s to 10s for slow CI machines. Without the fix the three variants block rollback for 27s (full rebuild), 31s (graph join) and 14s (concurrent) on this index. || Merge remote-tracking branch 'origin/main' into hnsw-merge-abort-16367  # Conflicts: #	lucene/CHANGES.txt || Merge branch 'main' into hnsw-merge-abort-16367 || Enforce that the abort check is set at most once"
16365,feat: Add API to use custom dictionary suggester (#16363),https://github.com/apache/lucene/pull/16365,MERGED,1,1,8,127,25,152,57,0,0,0,57,57.0,57,0,feat: Add API to use custom dictionary suggester (#16363)
16364,Fix occasional ConcurrentModificationException in TestInfoStream,https://github.com/apache/lucene/pull/16364,MERGED,1,2,1,20,18,38,64,198,0,0,268,134.0,264,2,Fix occasional ConcurrentModificationException in TestInfoStream  IndexWriter merge threads might still be writing to the InfoStream after the writer is closed.  Synchronize on the infostream List so that we don't get CMEs when iterating over it to check messages. || mate
16363,feat: Add API to use custom dictionary suggester,https://github.com/apache/lucene/pull/16363,MERGED,1,4,8,127,25,152,48,0,0,0,153,38.25,65,0,feat: Add API to use custom dictionary suggester || Update `CHANGES.txt` || Merge branch 'main' into ilia.permiashkin/dictionary-suggest-main || Update `CHANGES.txt`
16362,Add TwoPhaseIterator.applyMask() method,https://github.com/apache/lucene/pull/16362,MERGED,1,6,6,803,32,835,39,1044,1,3,1192,198.66666666666666,1083,2,"Add TwoPhaseIterator.applyMask() method  TwoPhaseIterator.intoBitSet() can vectorize two-phase matching across a window of documents, but it does not take into account any previous conjunction clauses that could have excluded documents in the window from consideration.  This can cause inefficiencies in DenseConjunctionBulkScorer, where we use intoBitSet for windows that we know have more than 25% matches - for example, a window with 26% matching documents when combined with a two-phase iterator whose approximation matches everything will call `match()` on the 74% of documents in the window that have already been excluded.  We add a complementary method `applyMask()` to TwoPhaseIterator that will call matches() on all documents marked as selected in a passed-in BitSet, and clear them if they do not pass. DocValuesRangeIterator can use a bulk implementation, while the default implementation still avoids matching documents already excluded by earlier clauses. DenseConjunctionBulkScorer always calls applyMask() when presented with a TwoPhaseIterator as a trailing clause. || tidy || add tests for review comments and fix || changes || Merge branch 'main' into twophase/applymask || Update CHANGES.txt"
16359,feat: Add API to use custom dictionary suggester,https://github.com/apache/lucene/pull/16359,CLOSED,0,3,8,132,25,157,48,0,4,10,85,28.333333333333332,48,0,feat: Add API to use custom dictionary suggester || Format code || Rollback redundant changes
16355,Add ASCII fast-path to CharacterUtils.toLowerCase,https://github.com/apache/lucene/pull/16355,MERGED,1,5,3,207,4,211,49,601,3,7,288,57.6,168,0,Add ASCII fast-path to CharacterUtils.toLowerCase  Skip codepoint-level Unicode lowering for ASCII-only tokens by using direct arithmetic; 2.16x faster on English text. || Merge with main. || Reverting cosmetic changes. || Remove unused import. || Merge branch 'main' into lucene/lowercase-ascii-fastpath
16352,SkipBlockRangeIterator should report docCount as its cost,https://github.com/apache/lucene/pull/16352,MERGED,1,2,3,9,1,10,57,256,0,0,320,160.0,313,0,"SkipBlockRangeIterator should report docCount as its cost  Currently it returns DocIdSetIterator.NO_MORE_DOCS, meaning that it will compare as more costly to almost any other iterator and never be used to drive iteration in conjunctions, even against expensive two-phase queries that report max_doc as their cost. || changes"
16350,Fix disabling of bulk scoring in monitor,https://github.com/apache/lucene/pull/16350,MERGED,1,4,3,137,1,138,40,444,0,0,560,140.0,482,2,"Fix disabling of bulk scoring in monitor  The monitor wraps all queries in a ForceNoBulkScoringQuery to ensure that it runs everything doc-at-a-time and doesn't allocate large bulk buffers for searches over a tiny number of documents.  Changes to the bulk scoring API in Weight and ScorerSupplier meant that this optimization was silently disabled.  Add a new test to ensure that bulk scoring is properly disabled, and re-work ForceNoBulkScoringQuery so that it behaves as expected. || changes || Merge branch 'main' into monitor/disable-bulk-scoring || Update CHANGES.txt"
16347,Fix integer underflow in assertion in SparseFixedBitSet,https://github.com/apache/lucene/pull/16347,MERGED,1,1,2,6,2,8,55,533,1,0,588,588.0,588,5,"Fix integer underflow in assertion in SparseFixedBitSet  For values close to Integer.MAX_VALUE, the blockCount calculation in SparseFixedBitSet can result in an assertion tripping.  The method checks that the calculated block count will cover the full length of the bitset; if the block count covers the whole integer range, the check will underflow to a negative value, which compares as smaller than the passed-in length.  This is fixed by a simple cast to long.  Note that the error is only in the assertion; the actual calculated block count is correct and there is no production bug."
16345,Add bounds validation to ArrayUtil.growExact() and CharTermAttributeImpl.clone(),https://github.com/apache/lucene/pull/16345,CLOSED,0,3,5,88,0,88,80,1342,4,1,1024,341.3333333333333,399,9,Add validation to ArrayUtil.growExact() methods  Adds bounds checking to all growExact() methods to prevent: - Negative newLength values - newLength less than array.length (maintains backward compatibility with IndexOutOfBoundsException) - newLength exceeding MAX_ARRAY_LENGTH  This fixes potential security issues where malicious input could cause excessive memory allocation or undefined behavior. || Add validation to CharTermAttributeImpl.clone()  Adds bounds checking in clone() method to validate termLength: - Checks termLength is not negative - Checks termLength does not exceed MAX_ARRAY_LENGTH  This prevents potential security issues with crafted/malicious TermBuffer values that could cause excessive memory allocation or undefined behavior during cloning. || Fix test and update CHANGES.txt for bug fix  - Remove OOM-causing test that allocated MAX_ARRAY_LENGTH - Update CHANGES.txt to reference new bug issue #16346 - Rephrase CHANGES.txt entry as bug fix (not security)  Co-Authored-By: Claude <noreply@anthropic.com>
16343,ci: bump actions/cache from 5.0.5 to 6.1.0 in /.github/actions/prepare-for-build,https://github.com/apache/lucene/pull/16343,MERGED,1,1,1,1,1,2,80,8610,0,0,632,632.0,632,0,ci: bump actions/cache in /.github/actions/prepare-for-build  Bumps [actions/cache](https://github.com/actions/cache) from 5.0.5 to 6.1.0. - [Release notes](https://github.com/actions/cache/releases) - [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md) - [Commits](https://github.com/actions/cache/compare/27d5ce7f107fe9357f9df03efb73ab90386fccae...55cc8345863c7cc4c66a329aec7e433d2d1c52a9)  --- updated-dependencies: - dependency-name: actions/cache   dependency-version: 6.1.0   dependency-type: direct:production   update-type: version-update:semver-major ...  Signed-off-by: dependabot[bot] <support@github.com>
16342,ci: bump actions/setup-java from 5.2.0 to 5.4.0 in /.github/actions/prepare-for-build,https://github.com/apache/lucene/pull/16342,MERGED,1,1,1,1,1,2,85,14629,0,0,592,592.0,592,0,ci: bump actions/setup-java in /.github/actions/prepare-for-build  Bumps [actions/setup-java](https://github.com/actions/setup-java) from 5.2.0 to 5.4.0. - [Release notes](https://github.com/actions/setup-java/releases) - [Commits](https://github.com/actions/setup-java/compare/be666c2fcd27ec809703dec50e508c2fdc7f6654...1bcf9fb12cf4aa7d266a90ae39939e61372fe520)  --- updated-dependencies: - dependency-name: actions/setup-java   dependency-version: 5.4.0   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com>
16341,ci: bump gradle/actions/setup-gradle from 6.1.0 to 6.2.0 in /.github/actions/prepare-for-build,https://github.com/apache/lucene/pull/16341,MERGED,1,2,1,1,1,2,94,10715,0,0,690,345.0,569,0,ci: bump gradle/actions/setup-gradle  Bumps [gradle/actions/setup-gradle](https://github.com/gradle/actions) from 6.1.0 to 6.2.0. - [Release notes](https://github.com/gradle/actions/releases) - [Commits](https://github.com/gradle/actions/compare/50e97c2cd7a37755bbfafc9c5b7cafaece252f6e...3f131e8634966bd73d06cc69884922b02e6faf92)  --- updated-dependencies: - dependency-name: gradle/actions/setup-gradle   dependency-version: 6.2.0   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com> || Merge branch 'main' into dependabot/github_actions/dot-github/actions/prepare-for-build/gradle/actions/setup-gradle-6.2.0
16340,ci: bump actions/setup-go from 6.4.0 to 6.5.0 in /.github/actions/eclint,https://github.com/apache/lucene/pull/16340,MERGED,1,1,1,1,1,2,72,4999,0,0,589,589.0,589,0,ci: bump actions/setup-go from 6.4.0 to 6.5.0 in /.github/actions/eclint  Bumps [actions/setup-go](https://github.com/actions/setup-go) from 6.4.0 to 6.5.0. - [Release notes](https://github.com/actions/setup-go/releases) - [Commits](https://github.com/actions/setup-go/compare/4a3601121dd01d1626a1e23e37211e3254c1c06c...924ae3a1cded613372ab5595356fb5720e22ba16)  --- updated-dependencies: - dependency-name: actions/setup-go   dependency-version: 6.5.0   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com>
16339,ci: bump actions/cache from 5.0.5 to 6.1.0 in /.github/actions/eclint,https://github.com/apache/lucene/pull/16339,MERGED,1,1,1,1,1,2,69,8610,0,0,641,641.0,641,0,ci: bump actions/cache from 5.0.5 to 6.1.0 in /.github/actions/eclint  Bumps [actions/cache](https://github.com/actions/cache) from 5.0.5 to 6.1.0. - [Release notes](https://github.com/actions/cache/releases) - [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md) - [Commits](https://github.com/actions/cache/compare/27d5ce7f107fe9357f9df03efb73ab90386fccae...55cc8345863c7cc4c66a329aec7e433d2d1c52a9)  --- updated-dependencies: - dependency-name: actions/cache   dependency-version: 6.1.0   dependency-type: direct:production   update-type: version-update:semver-major ...  Signed-off-by: dependabot[bot] <support@github.com>
16338,ci: bump actions/setup-python from 6.2.0 to 6.3.0,https://github.com/apache/lucene/pull/16338,MERGED,1,1,1,1,1,2,49,7103,0,0,586,586.0,586,0,ci: bump actions/setup-python from 6.2.0 to 6.3.0  Bumps [actions/setup-python](https://github.com/actions/setup-python) from 6.2.0 to 6.3.0. - [Release notes](https://github.com/actions/setup-python/releases) - [Commits](https://github.com/actions/setup-python/compare/a309ff8b426b58ec0e2a45f0f869d46889d02405...ece7cb06caefa5fff74198d8649806c4678c61a1)  --- updated-dependencies: - dependency-name: actions/setup-python   dependency-version: 6.3.0   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com>
